 Timecode, m      
11/05/2023 16:12,5.478.237
11/05/2023 16:12,5.450.581
11/05/2023 16:12,5.327.566
11/05/2023 16:12,5.188.973
11/05/2023 16:12,5.245.977
11/05/2023 16:12,5.442.897
11/05/2023 16:12,5.539.668
11/05/2023 16:12,5.508.958
11/05/2023 16:12,5.309.099
11/05/2023 16:12,5.168.935
11/05/2023 16:12,5.212.087
11/05/2023 16:12,5.324.488
11/05/2023 16:12,5.409.081
11/05/2023 16:12,5.449.044
11/05/2023 16:12,5.399.857
11/05/2023 16:12,5.366.026
11/05/2023 16:12,5.301.404
11/05/2023 16:12,5.216.709
11/05/2023 16:12,5.207.465
11/05/2023 16:12,5.301.404
11/05/2023 16:12,5.373.716
11/05/2023 16:12,5.422.917
11/05/2023 16:12,5.459.801
11/05/2023 16:12,5.342.952
11/05/2023 16:12,5.204.383
11/05/2023 16:12,5.256.757
11/05/2023 16:12,5.378.329
11/05/2023 16:12,5.430.602
11/05/2023 16:12,5.382.943
11/05/2023 16:12,5.346.028
11/05/2023 16:12,5.409.081
11/05/2023 16:12,5.372.178
11/05/2023 16:12,5.270.615
11/05/2023 16:12,5.278.313
11/05/2023 16:12,5.356.797
11/05/2023 16:12,5.427.528
11/05/2023 16:12,5.467.483
11/05/2023 16:13,5.455.191
11/05/2023 16:13,5.413.693
11/05/2023 16:13,5.335.259
11/05/2023 16:13,5.318.333
11/05/2023 16:13,5.355.258
11/05/2023 16:13,5.359.873
11/05/2023 16:13,5.359.873
11/05/2023 16:13,5.366.026
11/05/2023 16:13,5.346.028
11/05/2023 16:13,5.330.643
11/05/2023 16:13,5.322.950
11/05/2023 16:13,5.307.560
11/05/2023 16:13,5.349.105
11/05/2023 16:13,5.387.556
11/05/2023 16:13,5.361.411
11/05/2023 16:13,5.279.853
11/05/2023 16:13,5.224.412
11/05/2023 16:13,5.232.114
11/05/2023 16:13,5.290.629
11/05/2023 16:13,5.418.305
11/05/2023 16:13,5.432.139
11/05/2023 16:13,5.356.797
11/05/2023 16:13,5.275.234
11/05/2023 16:13,5.222.871
11/05/2023 16:13,5.329.104
11/05/2023 16:13,5.402.932
11/05/2023 16:13,5.395.244
11/05/2023 16:13,5.404.469
11/05/2023 16:13,5.353.720
11/05/2023 16:13,5.327.566
11/05/2023 16:13,5.336.798
11/05/2023 16:13,5.329.104
11/05/2023 16:13,5.349.105
11/05/2023 16:13,5.358.335
11/05/2023 16:13,5.378.329
11/05/2023 16:13,5.355.258
11/05/2023 16:13,5.335.259
11/05/2023 16:13,5.402.932
11/05/2023 16:13,5.424.454
11/05/2023 16:13,5.322.950
11/05/2023 16:13,5.205.924
11/05/2023 16:13,5.259.837
11/05/2023 16:13,5.370.640
11/05/2023 16:13,5.422.917
11/05/2023 16:13,5.485.918
11/05/2023 16:13,5.442.897
11/05/2023 16:13,5.318.333
11/05/2023 16:13,5.221.331
11/05/2023 16:13,5.222.871
11/05/2023 16:13,5.324.488
11/05/2023 16:13,5.439.824
11/05/2023 16:13,5.462.874
11/05/2023 16:13,5.364.487
11/05/2023 16:13,5.319.872
11/05/2023 16:13,5.332.182
11/05/2023 16:13,5.306.021
11/05/2023 16:13,5.264.456
11/05/2023 16:13,5.259.837
11/05/2023 16:13,5.298.325
11/05/2023 16:13,5.413.693
11/05/2023 16:14,5.453.654
11/05/2023 16:14,5.389.094
11/05/2023 16:14,5.276.774
11/05/2023 16:14,5.261.377
11/05/2023 16:14,5.259.837
11/05/2023 16:14,5.182.808
11/05/2023 16:14,5.215.168
11/05/2023 16:14,5.350.644
11/05/2023 16:14,5.427.528
11/05/2023 16:14,5.390.631
11/05/2023 16:14,5.389.094
11/05/2023 16:14,5.389.094
11/05/2023 16:14,5.256.757
11/05/2023 16:14,5.273.695
11/05/2023 16:14,5.326.027
11/05/2023 16:14,5.324.488
11/05/2023 16:14,5.442.897
11/05/2023 16:14,5.535.062
11/05/2023 16:14,5.372.178
